"datetime","source_pm2p5","Org","NH4","SO4","NO3","Chl","qc_flag_Org","qc_flag_NH4","qc_flag_SO4","qc_flag_NO3","qc_flag_Chl"
2020-10-01,"BAQS",0,0.232328914801217,0.810299569212333,0.00467015332172225,0.0456090563240563,"3b","3b","3b","3b","2b"
2020-10-01 01:00:00,"BAQS",1.29538253839874,0.179485757544413,0.297885472593733,0,0.000642497997430955,"3b","3b","3b","3b","2b"
2020-10-01 02:00:00,"BAQS",1.67288122119047,0,0.262226038828581,0.011455858466702,0.0113761520186664,"3b","3b","3b","3b","2b"
2020-10-01 03:00:00,"BAQS",0.279332347294875,0.438691891300455,0,0.105154419159256,0,"3b","3b","3b","3b","2b"
2020-10-01 04:00:00,"BAQS",0,0,0.594051757754766,0.0188817192007523,0,"3b","3b","3b","3b","2b"
2020-10-01 05:00:00,"BAQS",0.103127774286035,0,0.0857780628028333,0.0610080324578002,0.00268677686018093,"3b","3b","3b","3b","2b"
2020-10-01 06:00:00,"BAQS",1.4898930982774,0,0,0.0996472131897322,0.0166117043935229,"3b","3b","3b","3b","2b"
2020-10-01 07:00:00,"BAQS",1.253231319272,0,0.613437386268577,0.0061752646181196,0.0118145052675102,"3b","3b","3b","3b","2b"
2020-10-01 08:00:00,"BAQS",6.90279374826054,2.09492720403867,0,0.181429689721745,0,"3b","3b","3b","3b","2b"
2020-10-01 09:00:00,"BAQS",0,0.0755102650220027,0,0.0615999644752105,0,"3b","3b","3b","3b","2b"
2020-10-01 10:00:00,"BAQS",0.467762928222573,0,0,0.06962586496832,0,"3b","3b","3b","3b","2b"
2020-10-01 11:00:00,"BAQS",1.89150551074736,0,0.350182136266397,0.177272222274865,0.00393737626157507,"3b","3b","3b","3b","2b"
2020-10-01 12:00:00,"BAQS",1.6946426560083,0,0.0427869854218902,0.0734481055553257,0,"3b","3b","3b","3b","2b"
2020-10-01 13:00:00,"BAQS",1.522433105827,0.226801815143387,0,0.0608968573902358,0.0324558088106771,"3b","3b","3b","3b","2b"
2020-10-01 14:00:00,"BAQS",1.47622851026163,0,0.0150249528871281,0.0318053401656239,0,"3b","3b","3b","3b","2b"
2020-10-01 15:00:00,"BAQS",1.33568489383399,0,0,0.10142861019305,0,"3b","3b","3b","3b","2b"
2020-10-01 16:00:00,"BAQS",4.04353309257473,0,0.946802347099822,0.237236661326322,0.034197369802948,"3b","3b","3b","3b","2b"
2020-10-01 17:00:00,"BAQS",1.44075995868682,0.310473079821044,0,0.212545990772283,0,"3b","3b","3b","3b","2b"
2020-10-01 18:00:00,"BAQS",1.77107217794222,0,0.139619828111647,0.101879374885469,0.00814410446541568,"3b","3b","3b","3b","2b"
2020-10-01 19:00:00,"BAQS",3.11937049072447,0,0.844038356932695,0.180910373167073,0.00778425118873906,"3b","3b","3b","3b","2b"
2020-10-01 20:00:00,"BAQS",3.88300293833496,0.745298390068435,0.333919513691538,0.238264391238391,0,"3b","3b","3b","3b","2b"
2020-10-01 21:00:00,"BAQS",4.87162211906875,1.45521188632905,0.0182684172237015,0.478845463119202,0.0179792954378185,"3b","3b","3b","3b","2b"
2020-10-01 22:00:00,"BAQS",1.40434179119265,0.188508555982107,0.0052093032004608,0.420644279509156,0,"3b","3b","3b","3b","2b"
2020-10-01 23:00:00,"BAQS",1.29141791170795,0,0.725253125065209,0.392675236659156,0.0120009498879783,"3b","3b","3b","3b","2b"
2020-10-02,"BAQS",8.0281539480217,4.61892984706877,0,0.881044192530374,0.272704750732896,"3b","3b","3b","3b","2b"
2020-10-02 01:00:00,"BAQS",4.81933365898844,0,1.18376898537806,0.944024049209089,0,"3b","3b","3b","3b","2b"
2020-10-02 02:00:00,"BAQS",5.63799673775237,0,0.142476206491121,0.821199322423164,0,"3b","3b","3b","3b","2b"
2020-10-02 03:00:00,"BAQS",4.71969908287939,0.769954655518988,0,0.478674009384205,0,"3b","3b","3b","3b","2b"
2020-10-02 04:00:00,"BAQS",8.31514018099495,1.01397020313134,1.14138439526041,0.516350847339696,0,"3b","3b","3b","3b","2b"
2020-10-02 05:00:00,"BAQS",1.75694159097557,0,0,0.526517367829698,0,"3b","3b","3b","3b","2b"
2020-10-02 06:00:00,"BAQS",0.434471827468465,0.231530145315646,2.02211547292481,0.574908493745986,0,"3b","3b","3b","3b","2b"
2020-10-02 07:00:00,"BAQS",0.528432888803307,0,0.435927810174238,0.298601834674717,0,"3b","3b","3b","3b","2b"
2020-10-02 08:00:00,"BAQS",0.0850306270481017,2.06235194410416,0.951435342933506,0.142680122529258,0,"3b","3b","3b","3b","2b"
2020-10-02 09:00:00,"BAQS",0,2.87767218963268,0.739892126680618,0.180542989046755,0.0385916299196191,"3b","3b","3b","3b","2b"
2020-10-02 10:00:00,"BAQS",1.67125605917372,1.21337458163864,0.31291082150072,0.149002363194145,0.104424967253037,"3b","3b","3b","3b","2b"
2020-10-02 11:00:00,"BAQS",2.24074340992705,0,0,0.91785287352074,0.0850701362862936,"3b","3b","3b","3b","2b"
2020-10-02 12:00:00,"BAQS",4.67049253456805,0,1.00330126893227,0.526198296740235,0.228126760258958,"3b","3b","3b","3b","2b"
2020-10-02 13:00:00,"BAQS",4.10559450341176,1.09068057242655,0,0.369824584866187,0.186065310986912,"3b","3b","3b","3b","2b"
2020-10-02 14:00:00,"BAQS",2.27584959237265,0,1.76983222015215,0.258151313925062,0,"3b","3b","3b","3b","2b"
2020-10-02 15:00:00,"BAQS",0,1.15770254959961,2.77577401937162,0.265602593034604,0.288518996958158,"3b","3b","3b","3b","2b"
2020-10-02 16:00:00,"BAQS",3.25220134141023,2.70526516843575,0,0.175519145040705,0.0952264762671178,"3b","3b","3b","3b","2b"
2020-10-02 17:00:00,"BAQS",4.13482395417438,0,0.406088244327438,0.486022430596289,0,"3b","3b","3b","3b","2b"
2020-10-02 18:00:00,"BAQS",6.11019816047434,0,1.65943517992794,0.373615588600822,0.19051932294215,"3b","3b","3b","3b","2b"
2020-10-02 19:00:00,"BAQS",2.49299254811387,0,0,0.330795723855954,0,"3b","3b","3b","3b","2b"
2020-10-02 20:00:00,"BAQS",6.5809642955319,1.18014287607189,0.284771347310424,0.74283402803035,0.0285210816936453,"3b","3b","3b","3b","2b"
2020-10-02 21:00:00,"BAQS",0,0,0,0.510379470796743,0.33949926488893,"3b","3b","3b","3b","2b"
