"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-10-01,0.14235593220339,0.137616666666667,0.13095,0.13025,0.12215,0.122433333333333,0.12385,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 01:00:00,0.10715,0.1105,0.107533333333333,0.107333333333333,0.102216666666667,0.0979666666666667,0.0993833333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 02:00:00,0.0993166666666667,0.102366666666667,0.0983666666666667,0.0982166666666667,0.0942203389830508,0.091,0.0943793103448276,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 03:00:00,0.0764,0.0829166666666667,0.0792666666666667,0.0771833333333333,0.0748793103448276,0.0709333333333333,0.0708813559322034,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 04:00:00,0.053468085106383,0.0536041666666667,0.0524893617021277,0.0582325581395349,0.0496304347826087,0.0562,0.0540851063829787,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 05:00:00,0.0838448275862069,0.0852033898305085,0.0808166666666667,0.07975,0.0775862068965517,0.0799152542372881,0.0785,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 06:00:00,0.21428813559322,0.224416666666667,0.212133333333333,0.209416666666667,0.1961,0.20275,0.204283333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 07:00:00,0.445666666666667,0.463716666666667,0.44,0.4338,0.40815,0.422833333333333,0.425766666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 08:00:00,0.365169491525424,0.375254237288136,0.364551724137931,0.351745762711864,0.337465517241379,0.360571428571429,0.357561403508772,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 09:00:00,0.268706896551724,0.265916666666667,0.258220338983051,0.254237288135593,0.240423728813559,0.244440677966102,0.261,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 10:00:00,0.369814814814815,0.299407407407407,0.275732142857143,0.279890909090909,0.262446428571429,0.270685185185185,0.283716981132075,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 11:00:00,0.29025,0.231766666666667,0.21815,0.215383333333333,0.206983333333333,0.203830508474576,0.208844827586207,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 12:00:00,0.225947368421053,0.198366666666667,0.186783333333333,0.184233333333333,0.179483333333333,0.200982142857143,0.210277777777778,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 13:00:00,0.159233333333333,0.147483333333333,0.138066666666667,0.136733333333333,0.136237288135593,0.136245614035088,0.139526315789474,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 14:00:00,0.21045,0.204283333333333,0.192066666666667,0.190383333333333,0.186883333333333,0.182745762711864,0.189135593220339,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 15:00:00,0.231316666666667,0.228466666666667,0.215266666666667,0.21285,0.2096,0.20835593220339,0.214186440677966,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 16:00:00,0.25415,0.2635,0.249266666666667,0.246283333333333,0.240183333333333,0.239016666666667,0.242183333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 17:00:00,0.50705,0.533783333333333,0.508483333333333,0.505216666666667,0.49205,0.503483333333333,0.506933333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 18:00:00,1.04971666666667,1.08338333333333,1.02075,1.00435,0.968266666666667,0.967383333333333,0.970733333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 19:00:00,1.02931666666667,1.0239,0.956466666666667,0.93615,0.8957,0.887833333333333,0.88805,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 20:00:00,0.647683333333333,0.6444,0.604416666666667,0.5927,0.564583333333333,0.562833333333333,0.5615,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 21:00:00,0.6367,0.634416666666667,0.598683333333333,0.58785,0.561116666666667,0.561966666666667,0.562816666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-01 22:00:00,0.431883333333333,0.431266666666667,0.4073,0.400433333333333,0.38035,0.3866,0.385983333333333,"1b","1b","1b","1b","1b","1b","1b"
