"datetimes","pbl","pbs","cbh","ttc","sci","datetime","qc_flag_pbl","qc_flag_pbs","qc_flag_cbh","qc_flag_ttc","qc_flag_sci"
2024-01-01,NA,0,871,8,0,"2024-01-01 00","5b","1b","1b","1b","1b"
2024-01-01 01:00:00,NA,0,784,8,0,"2024-01-01 01","5b","1b","1b","1b","1b"
2024-01-01 02:00:00,634,0,716.5,8,0,"2024-01-01 02","1b","1b","1b","1b","1b"
2024-01-01 03:00:00,649,0,1005,4,0,"2024-01-01 03","1b","1b","1b","1b","1b"
2024-01-01 04:00:00,604,0,841,7,0,"2024-01-01 04","1b","1b","1b","1b","1b"
2024-01-01 05:00:00,NA,0,847,6,0,"2024-01-01 05","5b","1b","1b","1b","1b"
2024-01-01 06:00:00,904,0,826,1,0,"2024-01-01 06","1b","1b","1b","1b","1b"
2024-01-01 07:00:00,709,2,NA,0,0,"2024-01-01 07","1b","1b","5b","1b","1b"
2024-01-01 08:00:00,709,2,NA,0,0,"2024-01-01 08","1b","1b","5b","1b","1b"
2024-01-01 09:00:00,754,2,NA,0,0,"2024-01-01 09","1b","1b","5b","1b","1b"
2024-01-01 10:00:00,709,2,5385,2,0,"2024-01-01 10","1b","1b","1b","1b","1b"
2024-01-01 11:00:00,634,1,4860,6,0,"2024-01-01 11","1b","1b","1b","1b","1b"
2024-01-01 12:00:00,769,2,3063.5,7,0,"2024-01-01 12","1b","1b","1b","1b","1b"
2024-01-01 13:00:00,410,2,2489,8,0,"2024-01-01 13","1b","1b","1b","1b","1b"
2024-01-01 14:00:00,365,2,1934,8,0,"2024-01-01 14","1b","1b","1b","1b","1b"
2024-01-01 15:00:00,470,1,1409,8,0,"2024-01-01 15","1b","1b","1b","1b","1b"
2024-01-01 16:00:00,NA,0,963,8,4,"2024-01-01 16","5b","1b","1b","1b","1b"
2024-01-01 17:00:00,NA,0,163,8,1,"2024-01-01 17","5b","1b","1b","1b","1b"
2024-01-01 18:00:00,NA,0,142.5,8,1,"2024-01-01 18","5b","1b","1b","1b","1b"
2024-01-01 19:00:00,NA,0,176.5,8,1,"2024-01-01 19","5b","1b","1b","1b","1b"
2024-01-01 20:00:00,NA,0,211.5,8,1,"2024-01-01 20","5b","1b","1b","1b","1b"
2024-01-01 21:00:00,NA,0,200.5,8,1,"2024-01-01 21","5b","1b","1b","1b","1b"
2024-01-01 22:00:00,NA,0,176,8,1,"2024-01-01 22","5b","1b","1b","1b","1b"
2024-01-01 23:00:00,NA,0,235.5,8,1,"2024-01-01 23","5b","1b","1b","1b","1b"
2024-01-02,1129,0,738,4,0,"2024-01-02 00","1b","1b","1b","1b","1b"
2024-01-02 01:00:00,784,2,7531,4,0,"2024-01-02 01","1b","1b","1b","1b","1b"
2024-01-02 02:00:00,739,0,1482,7,0,"2024-01-02 02","1b","1b","1b","1b","1b"
2024-01-02 03:00:00,829,0,774,7,0,"2024-01-02 03","1b","1b","1b","1b","1b"
2024-01-02 04:00:00,829,0,910,7,0,"2024-01-02 04","1b","1b","1b","1b","1b"
2024-01-02 05:00:00,709,0,4385.5,7,0,"2024-01-02 05","1b","1b","1b","1b","1b"
2024-01-02 06:00:00,230,0,3041,8,0,"2024-01-02 06","1b","1b","1b","1b","1b"
2024-01-02 07:00:00,230,1,2228.5,8,0,"2024-01-02 07","1b","1b","1b","1b","1b"
2024-01-02 08:00:00,NA,0,231,8,1,"2024-01-02 08","5b","1b","1b","1b","1b"
2024-01-02 09:00:00,NA,0,229,8,1,"2024-01-02 09","5b","1b","1b","1b","1b"
2024-01-02 10:00:00,NA,0,125.5,8,1,"2024-01-02 10","5b","1b","1b","1b","1b"
2024-01-02 11:00:00,NA,0,172.5,8,1,"2024-01-02 11","5b","1b","1b","1b","1b"
2024-01-02 12:00:00,NA,0,125,8,1,"2024-01-02 12","5b","1b","1b","1b","1b"
2024-01-02 13:00:00,NA,0,99.5,8,1,"2024-01-02 13","5b","1b","1b","1b","1b"
2024-01-02 14:00:00,NA,0,197.5,8,1,"2024-01-02 14","5b","1b","1b","1b","1b"
2024-01-02 15:00:00,NA,0,206,8,1,"2024-01-02 15","5b","1b","1b","1b","1b"
