"datetime","pbl","pbs","cbh","ttc","sci","qc_flag_pbl","qc_flag_pbs","qc_flag_cbh","qc_flag_ttc","qc_flag_sci"
"2024-07-01 00:00:00",619,2,7638,4,0,"1b","1b","1b","1b","1b"
"2024-07-01 01:00:00",514,2,NA,2,0,"1b","1b","5b","1b","1b"
"2024-07-01 02:00:00",470,2,NA,1,0,"1b","1b","5b","1b","1b"
"2024-07-01 03:00:00",709,2,1159,1,0,"1b","1b","1b","1b","1b"
"2024-07-01 04:00:00",455,2,5878,1,0,"1b","1b","1b","1b","1b"
"2024-07-01 05:00:00",500,2,1206,6,0,"1b","1b","1b","1b","1b"
"2024-07-01 06:00:00",455,2,1158,8,0,"1b","1b","1b","1b","1b"
"2024-07-01 07:00:00",425,2,1215,6,0,"1b","1b","1b","1b","1b"
"2024-07-01 08:00:00",500,3,1224,5,0,"1b","1b","1b","1b","1b"
"2024-07-01 09:00:00",679,0,1237,8,0,"1b","1b","1b","1b","1b"
"2024-07-01 10:00:00",559,0,799.5,8,0,"1b","1b","1b","1b","1b"
"2024-07-01 11:00:00",NA,0,617.5,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 12:00:00",NA,0,587,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 13:00:00",NA,0,651.5,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 14:00:00",NA,0,1326,7,0,"5b","1b","1b","1b","1b"
"2024-07-01 15:00:00",NA,0,979,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 16:00:00",NA,0,634,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 17:00:00",NA,0,667.5,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 18:00:00",NA,0,589,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 19:00:00",NA,0,499.5,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 20:00:00",NA,0,409.5,8,0,"5b","1b","1b","1b","1b"
"2024-07-01 21:00:00",NA,0,169,8,1,"5b","1b","1b","1b","1b"
"2024-07-01 22:00:00",NA,0,442,7,4,"5b","1b","1b","1b","1b"
"2024-07-01 23:00:00",529,1,3380,7,0,"1b","1b","1b","1b","1b"
"2024-07-02 00:00:00",731.5,1,4599,7,0,"1b","1b","1b","1b","1b"
"2024-07-02 01:00:00",529,2,934.5,8,0,"1b","1b","1b","1b","1b"
"2024-07-02 02:00:00",NA,0,755.5,8,0,"5b","1b","1b","1b","1b"
"2024-07-02 03:00:00",NA,0,514,8,0,"5b","1b","1b","1b","1b"
"2024-07-02 04:00:00",NA,0,457,8,0,"5b","1b","1b","1b","1b"
"2024-07-02 05:00:00",NA,0,368,8,0,"5b","1b","1b","1b","1b"
"2024-07-02 06:00:00",NA,0,377,8,0,"5b","1b","1b","1b","1b"
