"datetime","particle_concentration","qc_flag_particle_concentration"
"2025-03-01 00:00:00",13742.4965332033,"1b"
"2025-03-01 01:00:00",17073.96383464,"1b"
"2025-03-01 02:00:00",9742.61149088333,"1b"
"2025-03-01 03:00:00",9611.96767578833,"1b"
"2025-03-01 04:00:00",7906.72281901,"1b"
"2025-03-01 05:00:00",8214.63302408667,"1b"
"2025-03-01 06:00:00",13322.4341959667,"1b"
"2025-03-01 07:00:00",22295.6416341183,"1b"
"2025-03-01 08:00:00",16474.96318359,"1b"
"2025-03-01 09:00:00",12314.441780605,"1b"
"2025-03-01 10:00:00",6530.19697265833,"1b"
"2025-03-01 11:00:00",5428.17244059,"1b"
"2025-03-01 12:00:00",6934.17349446333,"1b"
"2025-03-01 13:00:00",6458.16098633167,"1b"
"2025-03-01 14:00:00",6196.07387695333,"1b"
"2025-03-01 15:00:00",6747.799153645,"1b"
"2025-03-01 16:00:00",7745.35966796667,"1b"
"2025-03-01 17:00:00",8847.3735026,"1b"
"2025-03-01 18:00:00",16020.9424804667,"1b"
"2025-03-01 19:00:00",23863.240364585,"1b"
"2025-03-01 20:00:00",27332.0964645119,"1b"
"2025-03-01 21:00:00",NA,"2b"
"2025-03-01 22:00:00",34373.2980622,"1b"
"2025-03-01 23:00:00",31011.7388020817,"1b"
"2025-03-02 00:00:00",20831.544401045,"1b"
"2025-03-02 01:00:00",18717.2029947933,"1b"
"2025-03-02 02:00:00",15814.1175944017,"1b"
"2025-03-02 03:00:00",13542.69026693,"1b"
"2025-03-02 04:00:00",11239.0801106717,"1b"
"2025-03-02 05:00:00",9175.34378255167,"1b"
"2025-03-02 06:00:00",10322.9054036433,"1b"
"2025-03-02 07:00:00",13549.059554035,"1b"
"2025-03-02 08:00:00",10629.966959635,"1b"
"2025-03-02 09:00:00",7662.28722330833,"1b"
"2025-03-02 10:00:00",4651.53091227667,"1b"
"2025-03-02 11:00:00",4614.66122640667,"1b"
"2025-03-02 12:00:00",5089.49637858833,"1b"
"2025-03-02 13:00:00",4822.18321126667,"1b"
"2025-03-02 14:00:00",4748.81891276,"1b"
"2025-03-02 15:00:00",4822.02768555333,"1b"
"2025-03-02 16:00:00",5254.27045898333,"1b"
"2025-03-02 17:00:00",7931.70392252,"1b"
"2025-03-02 18:00:00",17581.537386065,"1b"
"2025-03-02 19:00:00",18405.4034830717,"1b"
"2025-03-02 20:00:00",31094.362272135,"1b"
"2025-03-02 21:00:00",22040.1983886683,"1b"
"2025-03-02 22:00:00",15043.837613925,"1b"
