"date (UTC+0)","dN_dLogDp_1.04","dN_dLogDp_1.11","dN_dLogDp_1.20","dN_dLogDp_1.29","dN_dLogDp_1.38","dN_dLogDp_1.49","dN_dLogDp_1.60","dN_dLogDp_1.72","dN_dLogDp_1.84","dN_dLogDp_1.98","dN_dLogDp_2.13","dN_dLogDp_2.29","dN_dLogDp_2.46","dN_dLogDp_2.64","dN_dLogDp_2.84","dN_dLogDp_3.05","dN_dLogDp_3.28","dN_dLogDp_3.52","dN_dLogDp_3.79","dN_dLogDp_4.07","dN_dLogDp_4.37","dN_dLogDp_4.70","dN_dLogDp_5.05","dN_dLogDp_5.42","dN_dLogDp_5.83","dN_dLogDp_6.26","dN_dLogDp_6.73","dN_dLogDp_7.23","dN_dLogDp_7.77","dN_dLogDp_8.35","dN_dLogDp_8.98","dN_dLogDp_9.65","dN_dLogDp_10.37","dN_dLogDp_11.14","dN_dLogDp_11.97","dN_dLogDp_12.86","dN_dLogDp_13.82","dN_dLogDp_14.86","dN_dLogDp_15.96","dN_dLogDp_17.15","dN_dLogDp_18.43","dN_dLogDp_19.81","dN_dLogDp_21.29","dN_dLogDp_22.88","dN_dLogDp_24.58","dN_dLogDp_26.42","dN_dLogDp_28.39","dN_dLogDp_30.51","dN_dLogDp_32.78","dN_dLogDp_35.23","dN_dLogDp_37.86","dN_dLogDp_40.68","dN_dLogDp_43.71","dN_dLogDp_46.98","dN_dLogDp_50.48","dN_dLogDp_54.25","dN_dLogDp_58.29","dN_dLogDp_62.64","dN_dLogDp_67.32","dN_dLogDp_72.34","dN_dLogDp_77.74","dN_dLogDp_83.54","dN_dLogDp_89.77","dN_dLogDp_96.47","dN_dLogDp_103.66","dN_dLogDp_111.40","dN_dLogDp_119.71","dN_dLogDp_128.64","dN_dLogDp_138.24","dN_dLogDp_148.55","dN_dLogDp_159.63","dN_dLogDp_171.54","dN_dLogDp_184.34","dN_dLogDp_198.10","dN_dLogDp_212.88","dN_dLogDp_228.76","dN_dLogDp_245.82","dN_dLogDp_264.16","dN_dLogDp_283.87","dN_dLogDp_305.05","dN_dLogDp_327.81","dN_dLogDp_352.27","dN_dLogDp_378.55","dN_dLogDp_406.79","dN_dLogDp_437.14","dN_dLogDp_469.76","dN_dLogDp_504.81","dN_dLogDp_542.47","dN_dLogDp_582.94","dN_dLogDp_626.43","dN_dLogDp_673.17","dN_dLogDp_723.39","dN_dLogDp_777.37","dN_dLogDp_835.36","dN_dLogDp_897.69","dN_dLogDp_964.66","qc_flag_dN_dLogDp_1.04","qc_flag_dN_dLogDp_1.11","qc_flag_dN_dLogDp_1.20","qc_flag_dN_dLogDp_1.29","qc_flag_dN_dLogDp_1.38","qc_flag_dN_dLogDp_1.49","qc_flag_dN_dLogDp_1.60","qc_flag_dN_dLogDp_1.72","qc_flag_dN_dLogDp_1.84","qc_flag_dN_dLogDp_1.98","qc_flag_dN_dLogDp_2.13","qc_flag_dN_dLogDp_2.29","qc_flag_dN_dLogDp_2.46","qc_flag_dN_dLogDp_2.64","qc_flag_dN_dLogDp_2.84","qc_flag_dN_dLogDp_3.05","qc_flag_dN_dLogDp_3.28","qc_flag_dN_dLogDp_3.52","qc_flag_dN_dLogDp_3.79","qc_flag_dN_dLogDp_4.07","qc_flag_dN_dLogDp_4.37","qc_flag_dN_dLogDp_4.70","qc_flag_dN_dLogDp_5.05","qc_flag_dN_dLogDp_5.42","qc_flag_dN_dLogDp_5.83","qc_flag_dN_dLogDp_6.26","qc_flag_dN_dLogDp_6.73","qc_flag_dN_dLogDp_7.23","qc_flag_dN_dLogDp_7.77","qc_flag_dN_dLogDp_8.35","qc_flag_dN_dLogDp_8.98","qc_flag_dN_dLogDp_9.65","qc_flag_dN_dLogDp_10.37","qc_flag_dN_dLogDp_11.14","qc_flag_dN_dLogDp_11.97","qc_flag_dN_dLogDp_12.86","qc_flag_dN_dLogDp_13.82","qc_flag_dN_dLogDp_14.86","qc_flag_dN_dLogDp_15.96","qc_flag_dN_dLogDp_17.15","qc_flag_dN_dLogDp_18.43","qc_flag_dN_dLogDp_19.81","qc_flag_dN_dLogDp_21.29","qc_flag_dN_dLogDp_22.88","qc_flag_dN_dLogDp_24.58","qc_flag_dN_dLogDp_26.42","qc_flag_dN_dLogDp_28.39","qc_flag_dN_dLogDp_30.51","qc_flag_dN_dLogDp_32.78","qc_flag_dN_dLogDp_35.23","qc_flag_dN_dLogDp_37.86","qc_flag_dN_dLogDp_40.68","qc_flag_dN_dLogDp_43.71","qc_flag_dN_dLogDp_46.98","qc_flag_dN_dLogDp_50.48","qc_flag_dN_dLogDp_54.25","qc_flag_dN_dLogDp_58.29","qc_flag_dN_dLogDp_62.64","qc_flag_dN_dLogDp_67.32","qc_flag_dN_dLogDp_72.34","qc_flag_dN_dLogDp_77.74","qc_flag_dN_dLogDp_83.54","qc_flag_dN_dLogDp_89.77","qc_flag_dN_dLogDp_96.47","qc_flag_dN_dLogDp_103.66","qc_flag_dN_dLogDp_111.40","qc_flag_dN_dLogDp_119.71","qc_flag_dN_dLogDp_128.64","qc_flag_dN_dLogDp_138.24","qc_flag_dN_dLogDp_148.55","qc_flag_dN_dLogDp_159.63","qc_flag_dN_dLogDp_171.54","qc_flag_dN_dLogDp_184.34","qc_flag_dN_dLogDp_198.10","qc_flag_dN_dLogDp_212.88","qc_flag_dN_dLogDp_228.76","qc_flag_dN_dLogDp_245.82","qc_flag_dN_dLogDp_264.16","qc_flag_dN_dLogDp_283.87","qc_flag_dN_dLogDp_305.05","qc_flag_dN_dLogDp_327.81","qc_flag_dN_dLogDp_352.27","qc_flag_dN_dLogDp_378.55","qc_flag_dN_dLogDp_406.79","qc_flag_dN_dLogDp_437.14","qc_flag_dN_dLogDp_469.76","qc_flag_dN_dLogDp_504.81","qc_flag_dN_dLogDp_542.47","qc_flag_dN_dLogDp_582.94","qc_flag_dN_dLogDp_626.43","qc_flag_dN_dLogDp_673.17","qc_flag_dN_dLogDp_723.39","qc_flag_dN_dLogDp_777.37","qc_flag_dN_dLogDp_835.36","qc_flag_dN_dLogDp_897.69","qc_flag_dN_dLogDp_964.66"
"2025-04-01 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695.0035,1921.47483333333,2184.59958333333,2422.521,2784.65275,3322.20625,3649.48666666667,4090.53683333333,4604.11308333333,4986.37816666667,5510.733,5917.0255,6512.0035,6970.85358333333,7576.12716666667,8179.13366666667,8862.713,9586.122,10252.3056666667,10778.4559166667,11378.7661666667,11774.18875,12214.131,12512.8535833333,12632.6988333333,12247.4058333333,11691.44375,10743.3675,9781.69575,8727.84908333333,7689.52208333333,6699.32383333333,5758.65191666667,4732.48725,3839.84191666667,3040.89041666667,2421.084,1943.921,1539.764,1215.46166666667,955.011916666667,767.221416666667,622.794916666667,504.388166666667,415.310416666667,330.755,265.981,211.03025,159.520916666667,130.26,92.5944166666667,66.2480833333333,49.52275,40.2305833333333,33.97075,26.9575,22.6824166666667,16.9821666666667,14.919,11.47675,13.26575,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 01:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3465.94966666667,3733.86591666667,4108.90141666667,4622.91408333333,5165.81616666667,5719.68366666667,6739.931,8109.18516666667,11417.85725,16048.0425,19250.36825,20164.3180833333,19321.3033333333,17853.9001666667,15927.5605833333,14201.77025,13285.6341666667,12556.3063333333,12371.3058333333,12053.0608333333,11790.4173333333,11795.71875,11991.6291666667,12228.50275,12247.57175,12263.65975,11777.4164166667,11169.6141666667,10362.0165833333,9276.26991666667,8179.60441666667,6998.72991666667,5962.71183333333,4891.84308333333,3851.36775,3048.53858333333,2405.49158333333,1882.58608333333,1489.20833333333,1179.06833333333,933.634416666667,748.049333333333,626.710333333333,497.160166666667,410.617,330.72225,263.599416666667,208.87775,159.50225,125.272666666667,88.51075,60.0449166666667,45.6545,33.29975,33.5901666666667,26.9474166666667,22.1505833333333,17.4746666666667,13.82475,11.1884166666667,10.1636666666667,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 02:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6508.91766666667,7001.63341666667,7522.66975,8998.61291666667,10965.37125,11868.1805,12463.3819166667,13398.4935,14179.5988333333,14560.8204166667,14455.1993333333,13732.75,12975.9274166667,12453.628,12186.2461666667,11999.6906666667,11630.0431666667,11288.4623333333,10857.5110833333,10704.25475,10371.61425,10194.43575,10187.0738333333,10194.8699166667,10315.4596666667,10391.3283333333,10252.2959166667,9808.08025,9218.62466666667,8337.32783333333,7393.357,6408.24375,5414.48233333333,4438.74941666667,3586.45883333333,2874.14166666667,2236.71341666667,1803.416,1442.67141666667,1168.86591666667,935.4245,744.80225,609.116416666667,496.857916666667,409.252833333333,336.682666666667,260.606416666667,210.9225,163.605,118.523833333333,86.2593333333333,58.203,45.8755,34.72925,30.8490833333333,25.7716666666667,16.6525833333333,18.2668333333333,12.98225,9.02241666666667,10.22225,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 03:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9753.48708333333,10126.4306666667,10317.2955833333,10724.3655,11230.1099166667,11927.3511666667,12704.032,13348.2438333333,13888.1169166667,14332.9086666667,14647.5549166667,15125.68675,15318.27825,15694.0555,15734.2025833333,15801.7301666667,15552.4665833333,15029.4735,14056.9611666667,12940.5549166667,11603.5905,10334.31925,9290.69458333333,8431.61575,7693.20716666667,7361.57025,7076.9975,6803.18033333333,6430.34358333333,5904.14275,5307.16683333333,4617.43558333333,3778.65,3008.06633333333,2377.28933333333,1830.60233333333,1461.33291666667,1161.05566666667,948.622416666667,756.288916666667,621.725583333333,515.379916666667,408.235833333333,329.993333333333,277.539166666667,239.389666666667,191.86875,153.99425,120.322416666667,85.4900833333333,67.38325,48.0613333333333,31.4045,27.07525,23.6996666666667,19.2124166666667,15.5000833333333,13.659,11.727,9.74558333333333,7.1005,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 04:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11691.19225,12165.3975833333,12267.898,12485.5083333333,12547.4279166667,12940.1463333333,13345.0494166667,13337.67725,13464.2254166667,13285.8881666667,13452.0273333333,13714.0326666667,14123.7843333333,14416.7225,14469.9378333333,14544.58675,14312.2810833333,13849.62175,13178.1136666667,12305.7176666667,11272.12475,9992.05891666667,8840.871,7880.55691666667,7079.60508333333,6559.584,6078.11508333333,5815.89608333333,5549.23983333333,5177.88291666667,4706.22658333333,4226.55883333333,3589.79883333333,2904.53275,2304.32925,1791.87375,1399.8625,1081.93066666667,870.549666666667,710.372833333333,606.66675,486.600916666667,398.570166666667,331.390166666667,274.1155,227.024333333333,185.64325,134.443666666667,116.307416666667,86.0094166666667,62.0208333333333,44.3314166666667,29.3803333333333,29.9343333333333,23.6749166666667,19.302,13.1406666666667,12.5745833333333,12.1404166666667,8.15983333333333,8.61425,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 05:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8162.10766666667,8365.66466666667,8807.3085,9240.69066666667,9267.11116666667,9624.11958333333,10197.8320833333,10380.69375,10903.8599166667,11447.5203333333,12162.2254166667,12566.5224166667,13283.1245,13565.86775,13849.7774166667,13798.5825833333,13460.0528333333,12716.9703333333,12022.4930833333,11020.7690833333,10019.7583333333,9020.57083333333,8154.01008333333,7344.71941666667,6731.33583333333,6246.705,5909.53733333333,5753.24391666667,5591.63,5331.86891666667,5056.26791666667,4732.10675,4244.6365,3786.47391666667,3303.55675,2792.40683333333,2292.237,1790.93566666667,1420.96166666667,1101.20183333333,858.446416666667,681.155833333333,552.0655,444.045666666667,368.073166666667,315.971916666667,266.62475,214.963666666667,185.362416666667,146.73075,109.993333333333,83.63575,52.2945833333333,34.6408333333333,30.9680833333333,18.8215,15.65625,13.4894166666667,8.10091666666667,8.29241666666667,7.22716666666667,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 06:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436.21491666667,5877.82016666667,5980.27075,6009.74325,6174.73458333333,6340.0665,6395.89283333333,6407.89916666667,6567.17833333333,6802.81308333333,7123.10683333333,7356.96483333333,7484.57825,7403.46458333333,7420.18083333333,7267.34883333333,6964.28433333333,6561.70375,6158.31458333333,5806.85141666667,5443.96983333333,5044.902,4776.6045,4463.17266666667,4254.57491666667,4043.66383333333,3915.11416666667,3812.83733333333,3718.92925,3608.09175,3497.68383333333,3339.97475,3134.36766666667,2946.42283333333,2824.37108333333,2641.8415,2388.18775,2170.26908333333,1929.80458333333,1673.67925,1422.94533333333,1211.459,1052.56625,917.252833333333,769.548416666667,650.689083333333,524.046083333333,419.613,309.004583333333,253.724166666667,182.59775,131.193666666667,76.9384166666667,48.4545833333333,37.1820833333333,19.6740833333333,16.7855,14.4530833333333,11.72175,9.75033333333333,7.21366666666667,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 07:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726.75358333333,2940.44066666667,3162.55241666667,3513.51425,3706.36958333333,3844.95325,4024.597,4099.30725,4174.92866666667,4197.17558333333,4304.16075,4276.3275,4330.31483333333,4392.00575,4401.78016666667,4381.1665,4234.06841666667,4116.2025,4026.19583333333,3915.28391666667,3808.55225,3705.57675,3624.72558333333,3471.92825,3302.85133333333,3149.74,2896.23983333333,2642.47716666667,2344.76808333333,2120.90616666667,1958.48708333333,1785.1025,1679.78641666667,1657.40458333333,1641.52533333333,1590.22358333333,1614.46525,1639.62008333333,1612.62233333333,1564.17333333333,1556.09216666667,1503.00158333333,1479.23083333333,1441.19433333333,1359.72575,1251.95458333333,1001.10458333333,782.318916666667,568.669666666667,408.943166666667,293.747333333333,195.001833333333,132.986,81.3413333333333,53.1315,36.41275,25.4244166666667,19.1661666666667,15.41675,13.3501666666667,9.40233333333333,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 08:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3686.91063636364,3634.57890909091,3761.997,3985.10472727273,4108.164,4274.45454545455,4347.63009090909,4309.08545454545,4428.34209090909,4544.31763636364,4763.66236363636,4902.74963636364,5049.89527272727,5183.63927272727,5263.61163636364,5183.24809090909,5106.49536363636,5069.73127272727,4930.87472727273,4803.11981818182,4658.56636363636,4591.30790909091,4386.19736363636,4192.74972727273,3833.20009090909,3437.98609090909,2999.47581818182,2559.60090909091,2174.82145454545,1886.03990909091,1633.04981818182,1511.36927272727,1344.55181818182,1304.57472727273,1239.33854545455,1198.29718181818,1155.64863636364,1186.84509090909,1162.74245454545,1212.41781818182,1220.23836363636,1295.95181818182,1336.29527272727,1359.58327272727,1318.50854545455,1167.086,970.220818181818,728.212454545455,531.810545454545,371.568636363636,266.794909090909,194.297363636364,114.144363636364,80.6831818181818,56.1018181818182,32.7678181818182,27.8310909090909,18.0612727272727,14.0618181818182,13.2697272727273,13.9837272727273,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2025-04-01 09:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6441.88991666667,6342.84266666667,6175.53658333333,6323.06291666667,6236.454,6292.77366666667,6541.33375,6772.46125,6870.90125,7026.84866666667,7266.16516666667,7540.14116666667,7723.53383333333,7772.81516666667,7937.09525,7835.3375,7658.31008333333,7347.10225,6935.33158333333,6419.48625,5947.64525,5570.4585,5196.94541666667,4889.50425,4572.33275,4117.22266666667,3657.86391666667,3109.57666666667,2552.33125,2122.12916666667,1762.8595,1518.522,1355.18708333333,1251.16458333333,1173.457,1127.06658333333,1096.08516666667,1124.062,1123.10616666667,1170.30691666667,1231.91775,1278.7955,1326.76433333333,1317.0875,1248.581,1107.09041666667,894.613083333333,672.383583333333,486.31925,364.564166666667,264.140333333333,180.575166666667,114.297583333333,66.1144166666667,52.47325,36.65675,24.1184166666667,22.2310833333333,15.6345,12.36725,13.9025833333333,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
