"date (UTC+0)","dN_dLogDp_1.04","dN_dLogDp_1.11","dN_dLogDp_1.20","dN_dLogDp_1.29","dN_dLogDp_1.38","dN_dLogDp_1.49","dN_dLogDp_1.60","dN_dLogDp_1.72","dN_dLogDp_1.84","dN_dLogDp_1.98","dN_dLogDp_2.13","dN_dLogDp_2.29","dN_dLogDp_2.46","dN_dLogDp_2.64","dN_dLogDp_2.84","dN_dLogDp_3.05","dN_dLogDp_3.28","dN_dLogDp_3.52","dN_dLogDp_3.79","dN_dLogDp_4.07","dN_dLogDp_4.37","dN_dLogDp_4.70","dN_dLogDp_5.05","dN_dLogDp_5.42","dN_dLogDp_5.83","dN_dLogDp_6.26","dN_dLogDp_6.73","dN_dLogDp_7.23","dN_dLogDp_7.77","dN_dLogDp_8.35","dN_dLogDp_8.98","dN_dLogDp_9.65","dN_dLogDp_10.37","dN_dLogDp_11.14","dN_dLogDp_11.97","dN_dLogDp_12.86","dN_dLogDp_13.82","dN_dLogDp_14.86","dN_dLogDp_15.96","dN_dLogDp_17.15","dN_dLogDp_18.43","dN_dLogDp_19.81","dN_dLogDp_21.29","dN_dLogDp_22.88","dN_dLogDp_24.58","dN_dLogDp_26.42","dN_dLogDp_28.39","dN_dLogDp_30.51","dN_dLogDp_32.78","dN_dLogDp_35.23","dN_dLogDp_37.86","dN_dLogDp_40.68","dN_dLogDp_43.71","dN_dLogDp_46.98","dN_dLogDp_50.48","dN_dLogDp_54.25","dN_dLogDp_58.29","dN_dLogDp_62.64","dN_dLogDp_67.32","dN_dLogDp_72.34","dN_dLogDp_77.74","dN_dLogDp_83.54","dN_dLogDp_89.77","dN_dLogDp_96.47","dN_dLogDp_103.66","dN_dLogDp_111.40","dN_dLogDp_119.71","dN_dLogDp_128.64","dN_dLogDp_138.24","dN_dLogDp_148.55","dN_dLogDp_159.63","dN_dLogDp_171.54","dN_dLogDp_184.34","dN_dLogDp_198.10","dN_dLogDp_212.88","dN_dLogDp_228.76","dN_dLogDp_245.82","dN_dLogDp_264.16","dN_dLogDp_283.87","dN_dLogDp_305.05","dN_dLogDp_327.81","dN_dLogDp_352.27","dN_dLogDp_378.55","dN_dLogDp_406.79","dN_dLogDp_437.14","dN_dLogDp_469.76","dN_dLogDp_504.81","dN_dLogDp_542.47","dN_dLogDp_582.94","dN_dLogDp_626.43","dN_dLogDp_673.17","dN_dLogDp_723.39","dN_dLogDp_777.37","dN_dLogDp_835.36","dN_dLogDp_897.69","dN_dLogDp_964.66","qc_flag_dN_dLogDp_1.04","qc_flag_dN_dLogDp_1.11","qc_flag_dN_dLogDp_1.20","qc_flag_dN_dLogDp_1.29","qc_flag_dN_dLogDp_1.38","qc_flag_dN_dLogDp_1.49","qc_flag_dN_dLogDp_1.60","qc_flag_dN_dLogDp_1.72","qc_flag_dN_dLogDp_1.84","qc_flag_dN_dLogDp_1.98","qc_flag_dN_dLogDp_2.13","qc_flag_dN_dLogDp_2.29","qc_flag_dN_dLogDp_2.46","qc_flag_dN_dLogDp_2.64","qc_flag_dN_dLogDp_2.84","qc_flag_dN_dLogDp_3.05","qc_flag_dN_dLogDp_3.28","qc_flag_dN_dLogDp_3.52","qc_flag_dN_dLogDp_3.79","qc_flag_dN_dLogDp_4.07","qc_flag_dN_dLogDp_4.37","qc_flag_dN_dLogDp_4.70","qc_flag_dN_dLogDp_5.05","qc_flag_dN_dLogDp_5.42","qc_flag_dN_dLogDp_5.83","qc_flag_dN_dLogDp_6.26","qc_flag_dN_dLogDp_6.73","qc_flag_dN_dLogDp_7.23","qc_flag_dN_dLogDp_7.77","qc_flag_dN_dLogDp_8.35","qc_flag_dN_dLogDp_8.98","qc_flag_dN_dLogDp_9.65","qc_flag_dN_dLogDp_10.37","qc_flag_dN_dLogDp_11.14","qc_flag_dN_dLogDp_11.97","qc_flag_dN_dLogDp_12.86","qc_flag_dN_dLogDp_13.82","qc_flag_dN_dLogDp_14.86","qc_flag_dN_dLogDp_15.96","qc_flag_dN_dLogDp_17.15","qc_flag_dN_dLogDp_18.43","qc_flag_dN_dLogDp_19.81","qc_flag_dN_dLogDp_21.29","qc_flag_dN_dLogDp_22.88","qc_flag_dN_dLogDp_24.58","qc_flag_dN_dLogDp_26.42","qc_flag_dN_dLogDp_28.39","qc_flag_dN_dLogDp_30.51","qc_flag_dN_dLogDp_32.78","qc_flag_dN_dLogDp_35.23","qc_flag_dN_dLogDp_37.86","qc_flag_dN_dLogDp_40.68","qc_flag_dN_dLogDp_43.71","qc_flag_dN_dLogDp_46.98","qc_flag_dN_dLogDp_50.48","qc_flag_dN_dLogDp_54.25","qc_flag_dN_dLogDp_58.29","qc_flag_dN_dLogDp_62.64","qc_flag_dN_dLogDp_67.32","qc_flag_dN_dLogDp_72.34","qc_flag_dN_dLogDp_77.74","qc_flag_dN_dLogDp_83.54","qc_flag_dN_dLogDp_89.77","qc_flag_dN_dLogDp_96.47","qc_flag_dN_dLogDp_103.66","qc_flag_dN_dLogDp_111.40","qc_flag_dN_dLogDp_119.71","qc_flag_dN_dLogDp_128.64","qc_flag_dN_dLogDp_138.24","qc_flag_dN_dLogDp_148.55","qc_flag_dN_dLogDp_159.63","qc_flag_dN_dLogDp_171.54","qc_flag_dN_dLogDp_184.34","qc_flag_dN_dLogDp_198.10","qc_flag_dN_dLogDp_212.88","qc_flag_dN_dLogDp_228.76","qc_flag_dN_dLogDp_245.82","qc_flag_dN_dLogDp_264.16","qc_flag_dN_dLogDp_283.87","qc_flag_dN_dLogDp_305.05","qc_flag_dN_dLogDp_327.81","qc_flag_dN_dLogDp_352.27","qc_flag_dN_dLogDp_378.55","qc_flag_dN_dLogDp_406.79","qc_flag_dN_dLogDp_437.14","qc_flag_dN_dLogDp_469.76","qc_flag_dN_dLogDp_504.81","qc_flag_dN_dLogDp_542.47","qc_flag_dN_dLogDp_582.94","qc_flag_dN_dLogDp_626.43","qc_flag_dN_dLogDp_673.17","qc_flag_dN_dLogDp_723.39","qc_flag_dN_dLogDp_777.37","qc_flag_dN_dLogDp_835.36","qc_flag_dN_dLogDp_897.69","qc_flag_dN_dLogDp_964.66"
"2024-07-01 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.63958333333,3346.23633333333,3236.312,3362.02241666667,3567.68791666667,3564.41925,3848.56383333333,4006.87183333333,4344.97083333333,4807.73775,5391.63908333333,6119.53341666667,6941.50508333333,7617.93075,7975.6565,8037.54783333333,7581.30891666667,6758.17541666667,5645.3455,4663.52841666667,4001.2565,3686.81225,3729.4815,3869.52158333333,3800.131,3435.85175,2757.41158333333,2081.18558333333,1513.24508333333,1133.31441666667,948.213833333333,896.8345,892.276083333333,941.729583333333,999.025083333333,1022.29466666667,1051.28183333333,1018.47958333333,922.888,811.083,713.331083333333,609.23675,511.693416666667,430.299916666667,366.021666666667,294.354416666667,220.774583333333,159.737083333333,103.208166666667,69.70225,46.5950833333333,33.4841666666667,22.2940833333333,18.9880833333333,16.0871666666667,14.4095833333333,10.8631666666667,12.37525,10.2605,7.16691666666667,4.75283333333333,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 01:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4848.70125,4766.52716666667,5005.54016666667,5125.6465,5388.1825,5667.18175,5955.95308333333,6254.58991666667,6596.29241666667,7220.77383333333,7871.2985,8538.94466666667,9137.46083333333,9786.767,10082.815,9943.76383333333,9284.74083333333,8087.01991666667,6610.72808333333,5233.232,4236.0875,3641.586,3500.20925,3572.458,3669.26175,3491.66575,2894.64633333333,2216.6615,1585.11983333333,1212.766,1014.68275,907.315166666667,919.766,933.52175,952.583666666667,996.308583333333,1057.68675,1034.59683333333,975.064833333333,894.161416666667,795.6325,680.94175,580.024833333333,460.920083333333,386.577666666667,306.113166666667,233.118666666667,185.993166666667,114.309916666667,83.0589166666667,48.9861666666667,30.8839166666667,22.1909166666667,19.0334166666667,17.9434166666667,13.3158333333333,10.0751666666667,10.9203333333333,7.51708333333333,6.38675,6.18225,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 02:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7303.48341666667,7342.12766666667,7481.92858333333,7423.26983333333,7032.21875,6623.64725,6311.4015,5990.48316666667,5660.49491666667,5493.67333333333,5567.2615,5910.84891666667,6385.307,7074.4375,7609.86366666667,8006.71033333333,7889.61691666667,7347.287,6356.74941666667,5262.84466666667,4206.086,3528.785,3209.83908333333,3340.51616666667,3343.521,3150.27266666667,2657.61858333333,2015.27825,1446.55708333333,1066.76766666667,878.60725,788.888333333333,789.212333333333,816.163583333333,887.287916666667,952.90075,999.642583333333,1016.93533333333,960.5015,854.705083333333,756.91675,632.890583333333,532.403666666667,426.37375,333.856333333333,278.625083333333,210.625833333333,157.715833333333,98.2139166666667,61.2968333333333,37.8825833333333,23.28075,16.4273333333333,12.8509166666667,9.37408333333333,9.03058333333333,7.32733333333333,6.54541666666667,6.81566666666667,4.06333333333333,3.08975,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 03:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8270.84525,8080.24641666667,7761.173,7309.894,6562.56533333333,6032.41566666667,5634.01533333333,5236.59358333333,5047.90175,5114.48133333333,5581.47875,6114.06033333333,6912.26025,7730.63183333333,8652.19916666667,9276.69858333333,9465.29316666667,9358.2945,8520.50791666667,7341.0465,5823.28383333333,4514.94891666667,3582.20566666667,3087.59866666667,2831.79883333333,2531.8375,2079.16791666667,1553.22158333333,1069.99166666667,791.607333333333,650.918,607.286166666667,626.457666666667,682.575,778.121166666667,879.425,937.969916666667,967.135333333333,901.261416666667,803.907333333333,681.373416666667,566.0185,456.618583333333,368.9705,298.56375,236.356166666667,170.194833333333,123.152666666667,77.4148333333333,53.08125,29.9895,19.7479166666667,12.8835,10.4205,5.5755,5.12991666666667,4.63933333333333,3.932,3.99858333333333,4.20425,2.9085,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 04:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15939.405,16558.16725,16887.3553333333,16691.8480833333,16289.5688333333,15124.3653333333,14005.03825,12678.58275,11625.5136666667,10623.2504166667,10009.0351666667,9496.08433333333,9418.25083333333,9825.37491666667,10497.4489166667,11143.7845,11547.05725,11614.3301666667,11147.7610833333,10061.7820833333,8420.17833333333,6658.44983333333,5027.22416666667,3902.68141666667,3200.02908333333,2811.34766666667,2315.93925,1786.58933333333,1316.066,981.55075,821.27925,748.738416666667,724.41225,776.53375,811.454916666667,876.1495,922.725333333333,923.048833333333,871.554583333333,795.578583333333,702.90175,581.9655,478.563833333333,390.925916666667,320.384166666667,251.584333333333,184.545583333333,135.1945,88.5913333333333,55.9561666666667,30.8251666666667,23.7584166666667,11.9143333333333,11.6966666666667,9.4405,7.7295,4.40066666666667,5.472,4.65125,3.19091666666667,4.06858333333333,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 05:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23017.2330833333,23552.3388333333,23382.6899166667,22942.96275,22572.1665,21524.1824166667,20195.4461666667,19045.832,17756.3865833333,16490.903,15703.5249166667,15196.8595833333,14698.836,14902.5938333333,15007.9774166667,15236.8155,15203.3550833333,14881.53125,14218.707,12838.53475,10986.6613333333,8768.93675,6599.87783333333,4917.44158333333,3879.57391666667,3153.68133333333,2615.49091666667,2048.85208333333,1580.01575,1261.51566666667,1066.70458333333,975.955916666667,926.742916666667,940.240083333333,939.7055,953.012,999.8295,980.047083333333,951.994583333333,872.474416666667,804.782833333333,687.016666666667,592.64625,496.5075,374.443916666667,300.33375,218.825916666667,159.52025,108.941833333333,68.2995,46.7901666666667,30.2113333333333,18.6099166666667,16.679,13.37975,10.0015,11.5203333333333,7.11158333333333,5.93475,4.96375,3.699,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 06:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16727.8188333333,16703.5205,16608.0918333333,15776.373,15051.6081666667,14360.864,13181.5448333333,12162.8804166667,11379.6906666667,10800.72125,10541.8793333333,10384.2400833333,10795.9215833333,11268.2963333333,11904.7143333333,12455.4623333333,12735.71275,12549.25175,11876.23075,10742.5154166667,9136.09791666667,7315.6395,5464.87966666667,3954.79925,2816.44041666667,2064.7725,1545.34558333333,1168.47091666667,908.069916666667,749.7675,668.643416666667,626.348333333333,655.51725,679.785666666667,734.569166666667,802.039083333333,845.51075,910.611916666667,870.741166666667,854.44025,782.954416666667,721.482666666667,611.498166666667,500.236833333333,405.40775,316.243083333333,238.981583333333,165.035916666667,107.815083333333,68.19925,42.874,26.2266666666667,17.41575,13.9849166666667,13.119,8.33741666666667,6.4375,7.35558333333333,4.76208333333333,4.512,4.03333333333333,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 07:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12929.36675,12892.5691666667,12480.44825,11975.7845,11212.4370833333,10335.7278333333,9256.52175,8337.71091666667,7629.35733333333,7323.80191666667,7162.45491666667,7341.27033333333,7712.73716666667,8097.75225,8689.57575,9326.01891666667,9717.23141666667,9691.57858333333,9432.308,8793.70558333333,7616.18033333333,6390.31908333333,5066.88758333333,3810.29891666667,2843.64291666667,2094.34416666667,1608.9135,1265.85475,985.333583333333,816.807083333333,699.757583333333,640.480416666667,599.903666666667,595.273416666667,593.121333333333,636.478416666667,700.882,738.473166666667,765.751583333333,762.678583333333,766.253916666667,741.558833333333,683.34925,606.33175,518.098666666667,405.0215,310.181416666667,211.794666666667,138.50525,84.28075,53.54425,33.8014166666667,23.77825,16.595,13.0924166666667,10.4258333333333,7.88566666666667,6.54775,6.63175,6.02925,3.84875,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 08:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8683.61125,8324.62416666667,7687.641,7359.12858333333,6844.51066666667,6487.18766666667,6277.023,6149.93291666667,6077.42525,6035.09225,6208.62941666667,6321.45983333333,6478.71308333333,6684.72683333333,6940.11908333333,7327.79816666667,7462.9135,7597.67208333333,7507.58283333333,7327.43858333333,6871.84333333333,6198.27275,5342.9215,4496.92991666667,3618.77033333333,2920.02475,2389.13091666667,1984.67875,1631.75941666667,1294.53566666667,1096.50658333333,949.877333333333,838.058,802.543833333333,753.675833333333,772.250833333333,786.263333333333,808.509166666667,821.591416666667,840.619083333333,838.3665,800.161,754.190333333333,668.4545,558.276833333333,465.26225,343.156916666667,250.0865,160.689916666667,104.517583333333,70.1763333333333,49.0988333333333,33.0985833333333,23.9951666666667,17.318,15.4933333333333,13.5471666666667,11.07725,8.343,5.36941666666667,7.03533333333333,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
"2024-07-01 09:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9606.71708333333,9252.76533333333,8783.91433333333,8332.62575,7753.29833333333,7084.47841666667,6675.349,6433.2425,6271.22916666667,6264.6585,6301.75366666667,6450.37516666667,6647.701,6718.16483333333,6825.28658333333,6853.12775,6713.2625,6509.19783333333,6159.79733333333,5685.37341666667,5219.30433333333,4684.378,4082.88075,3473.09383333333,2906.5855,2380.9035,1916.86166666667,1569.27266666667,1312.53508333333,1045.18333333333,933.541666666667,829.684083333333,756.687166666667,728.996166666667,686.216166666667,704.987666666667,729.645916666667,773.942583333333,805.84175,849.523166666667,869.30325,828.06775,759.703,684.828,581.607166666667,467.317916666667,336.177,230.178666666667,143.55875,96.4465,60.86925,41.44975,29.79625,22.3615,21.7176666666667,16.38125,13.133,12.5649166666667,11.47125,7.22816666666667,7.338,0,0,0,"0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","0b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","1b","0b","0b","0b"
